"A","278-A3","","","","","","","","","","","4932","","It is required that separate transaction sets be used for different patients."
"C","278-A3","6","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-A3","6","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-A3","6","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-A3","6","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-A3","6","0200","","","","","","","2","0200","5127","","Any trace numbers provided at this level on the request must be returned by the UMO at this level of the 278 response."
"B","278-A3","6","0200","","","","","","","2","0200","5163","","If the 278 request transaction passes through more than one clearinghouse, the second (and subsequent) clearinghouse may choose one of the following options:<R>
If the second or subsequent clearinghouse needs to assign their own TRN segment they may replace the received TRN segment belonging to the sending clearinghouse with their own TRN segment. Upon returning a 278 response to the sending clearinghouse, they must remove their TRN segment and replace it with the sending clearinghouse's TRN segment.

If the second or subsequent clearinghouse does not need to assign their own TRN segment, they should merely pass all TRN segments received in the 278 response transaction."
"B","278-A3","6","0200","","","","","","","2","0200","5164","","If the 278 request passes through a clearinghouse that adds their own TRN in addition to a requester TRN, the clearinghouse will receive a response from the UMO containing two TRN segments that contain the value ""2"" (Referenced Transaction Trace Number) in TRN01. If the UMO has assigned a TRN, the UMO's TRN will contain the value ""1"" (Current Transaction Trace Number) in TRN01. If the clearinghouse chooses to pass their own TRN values to the requester, the clearinghouse must change the value in their TRN01 to ""1"" because, from the requester's perspective, this is not a referenced transaction trace number."
"B","278-A3","6","0200","","","","","","","2","0200","5230","A","Patient Event Tracking Number"
"B","278-A3","6","0200","","","","","","","2","0200","5231","E","TRN*1*2001042801*9012345678*CARDIOLOGY~"
"B","278-A3","6","0200","","","","","","","2","0200","5397","","Required when this loop is returned and the request contained a tracking number at this level on the request, or when the UMO or clearinghouse assigns a trace number to this patient event in the response for tracking purposes. If not required by this implementation guide, do not send."
"C","278-A3","6","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-A3","6","0200","TRN","01","","","481","1","2","0200","5128","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 response transaction (the UMO)."
"E","278-A3","6","0200","TRN","01","","","481","2","2","0200","5129","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 request transaction."
"C","278-A3","6","0200","TRN","02","","","","","2","0200","","F","Patient Event Trace Number"
"C","278-A3","6","0200","TRN","03","","","","","2","0200","5088","","Use this element to identify the organization that assigned this trace number. If TRN01 is ""2"", this is the value received in the original 278 request transaction. If TRN01 is ""1"", use this information to identify the UMO organization that assigned this trace number."
"C","278-A3","6","0200","TRN","03","","","","","2","0200","5089","","The first position must be either a ""1"" if an EIN is used, a ""3"" if a DUNS is used or a ""9"" if a user assigned identifier is used."
"C","278-A3","6","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-A3","6","0200","TRN","04","","","","","2","0200","5398","D","Required when TRN01 = 2 and TRN04 was valued on the request or when TRN01 = 1 and a specific division or group, of the company identified in the previous data element (TRN03) is needed by the sender to further identify a specific component of the entity. If not required by this implementation guide, may be provided at the sender's discretion, but cannot be required by the receiver."
"C","278-A3","6","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-A3","6","0300","","","","","","","2","0300","5098","E","AAA*N**15*C~"
"B","278-A3","6","0300","","","","","","","2","0300","5301","A","Patient Event Request Validation"
"B","278-A3","6","0300","","","","","","","2","0300","5379","","Required when the request is not valid at this level. If not required by this implementation guide, do not send."
"B","278-A3","6","0300","","","","","","","2","0300","5399","","Use this AAA segment to identify the reasons why a request could not be processed based on the data at this level of the request."
"C","278-A3","6","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"C","278-A3","6","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-A3","6","0300","AAA","03","","","901","15","2","0300","5133","","Use when data is missing that is not covered by another Reject Reason Code. For example, use for missing procedure codes and procedure dates."
"E","278-A3","6","0300","AAA","03","","","901","33","2","0300","5302","","Use for input errors in the service data not covered by the other reject reason codes listed. For example, use for invalid place of service codes and invalid diagnosis codes and diagnosis dates."
"E","278-A3","6","0300","AAA","03","","","901","52","2","0300","5303","","Use for Event Date(s)."
"E","278-A3","6","0300","AAA","03","","","901","56","2","0300","5101","","Use when the type of date (Accident, Last Menstrual Period, Estimated Date of Birth, Onset of Current Symptoms or Illness) used on the request is inconsistent with the patient condition or services requested."
"E","278-A3","6","0300","AAA","03","","","901","57","2","0300","5356","","Use for invalid/missing event date."
"E","278-A3","6","0300","AAA","03","","","901","60","2","0300","5304","","Use for Date(s) of Event."
"E","278-A3","6","0300","AAA","03","","","901","61","2","0300","5304","","Use for Date(s) of Event."
"E","278-A3","6","0300","AAA","03","","","901","62","2","0300","5305","","Use for Date of Event."
"E","278-A3","6","0300","AAA","03","","","901","T5","2","0300","5135","","Use to indicate missing previous certification number information."
"C","278-A3","6","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-A3","6","0400","","","","","","","2","0400","4936","","Identifies the type of health care services review."
"B","278-A3","6","0400","","","","","","","2","0400","4960","E","UM*SC*I*3~"
"B","278-A3","6","0400","","","","","","","2","0400","","A","Health Care Services Review Information"
"C","278-A3","6","0400","UM","01","","","","","2","0400","","F","Request Category Code"
"E","278-A3","6","0400","UM","01","","","1525","AR","2","0400","5400","","Required when this is a response to a request regarding admission to a facility."
"E","278-A3","6","0400","UM","01","","","1525","HS","2","0400","5136","","Required when this is a response to a request for review of services related to an episode of care."
"E","278-A3","6","0400","UM","01","","","1525","IN","2","0400","5488","","Required when BHT06 is equal to ""RU""."
"E","278-A3","6","0400","UM","01","","","1525","SC","2","0400","5137","","Required when this is a response to a request for a referral to a specialty provider."
"C","278-A3","6","0400","UM","02","","","","","2","0400","","F","Certification Type Code"
"E","278-A3","6","0400","UM","02","","","1322","1","2","0400","5138","","Use this value only for appeals of review decisions where the level of;service required is emergency or urgent. If UM02 = 1 then UM06 must be;valued."
"E","278-A3","6","0400","UM","02","","","1322","2","2","0400","5139","","Use this value for appeals of review decisions where the level of service required is not emergency or urgent."
"E","278-A3","6","0400","UM","02","","","1322","4","2","0400","5357","","Use this value to indicate that this is an extension request to a prior approved service."
"E","278-A3","6","0400","UM","02","","","1322","R","2","0400","5307","","Various services, such as physical therapy, spinal manipulation, and allergy treatment, have both a delivery pattern and a time span of authorization. Many UMOs place time limits - as in will not authorize anything for more than 30 days at a time. For example, blanket authorization for allergy treatments as required for 30 days. At the end of the 30 days, the provider must request to renew the certification - not extend it - because the UMO authorizes for 30 day intervals, one interval at a time."
"E","278-A3","6","0400","UM","02","","","1322","S","2","0400","5308","","Use if the requester is revising the specifics of a certification for which services have not been rendered. For example, the requester may be requesting additional procedures or other procedures for the same patient event."
"C","278-A3","6","0400","UM","03","","","","","2","0400","5401","D","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"C","278-A3","6","0400","UM","03","","","","","2","0400","","F","Service Type Code"
"E","278-A3","6","0400","UM","03","","","1365","25","2","0400","5358","","Use for restorative dental."
"C","278-A3","6","0400","UM","04","","","","","2","0400","5470","","Values entered at the Service Level for this data element override values at the Patient Event Level for that service only."
"C","278-A3","6","0400","UM","04","","","","","2","0400","5489","D","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"D","278-A3","6","0400","UM","04","C023","01","","","2","0400","5227","","Use to indicate a facility code value from the code source referenced in UM04-2."
"D","278-A3","6","0400","UM","04","C023","01","","","2","0400","","F","Facility Type Code"
"D","278-A3","6","0400","UM","04","C023","02","","","2","0400","","F","Facility Code Qualifier"
"C","278-A3","6","0400","UM","06","","","","","2","0400","5224","D","Required when used by the UMO in rendering a decision. If not required by this implementation guide, do not send."
"C","278-A3","6","0400","UM","06","","","","","2","0400","","F","Level of Service Code"
"B","278-A3","6","0500","","","","","","","2","0500","4961","E","HCR*A1*19950713~"
"B","278-A3","6","0500","","","","","","","2","0500","5140","","If the UMO for this service was unable to review the request due to missing or invalid application data at this level, the UMO must return a 278 response containing a AAA segment at this level."
"B","278-A3","6","0500","","","","","","","2","0500","5309","","If Loop 2000E is present in the response, either the AAA segment or the HCR segment must be returned in loop 2000E."
"B","278-A3","6","0500","","","","","","","2","0500","5310","","If the review outcome is pending additional medical information and the 278 response includes a request for additional information using either a PWK segment or an HI segment that specifies LOINC values, then the associated HCR segment must be valued with HCR01 = A4 (pended) and HCR03 must be valued with the appropriate health care services review decision reason code to indicate that additional information is required.<R>
Refer to Section 2.5 for more information."
"B","278-A3","6","0500","","","","","","","2","0500","5402","","Required when the UMO has reviewed the request at this level to provide patient event review outcome information or to indicate that the final decision is pending. If not required by this implementation guide, do not send."
"B","278-A3","6","0500","","","","","","","2","0500","5403","","If the response contains Service level information (Loop 2000F) where the HCR segment is valued, the HCR values at the Service level override the HCR values at the Patient Event level for that service only."
"B","278-A3","6","0500","","","","","","","2","0500","","A","Health Care Services Review"
"C","278-A3","6","0500","HCR","01","","","","","2","0500","5025","B","Certification Action Code"
"C","278-A3","6","0500","HCR","01","","","","","2","0500","","F","Action Code"
"E","278-A3","6","0500","HCR","01","","","306","A2","2","0500","5404","","Use to identify that the event is only partially certified. Consult  HCR01, Loop 2000F for approved, denied or pended services."
"E","278-A3","6","0500","HCR","01","","","306","NA","2","0500","5141","","Use only if certification is not required."
"C","278-A3","6","0500","HCR","02","","","","","2","0500","5405","D","Required when HCR01 = A1, A2 or A6. If not required by this implementation guide, do not send."
"C","278-A3","6","0500","HCR","02","","","","","2","0500","","F","Review Identification Number"
"C","278-A3","6","0500","HCR","03","","","","","2","0500","5406","D","Required when HCR01=A3 or A4. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A3","6","0500","HCR","03","","","","","2","0500","5490","","This data element is a repeating data element and can be repeated the maximum number allowed by the standard in this implementation guide."
"C","278-A3","6","0500","HCR","03","","","","","2","0500","","F","Review Decision Reason Code"
"C","278-A3","6","0500","HCR","04","","","","","2","0500","5207","D","Required when certification pertains to a surgical procedure and the contract under which the patient is covered has provisions regarding a second surgical opinion. If not required by this implementation guide, do not send."
"C","278-A3","6","0500","HCR","04","","","","","2","0500","","F","Second Surgical Opinion Indicator"
"B","278-A3","6","0600","","","","","","","2","0600","5452","A","Administrative Reference Number"
"B","278-A3","6","0600","","","","","","","2","0600","5453","E","REF*NT*Y456~"
"B","278-A3","6","0600","","","","","","","2","0600","5454","","Required when the HCR segment is valued in this loop, HCR01 = A3, A4 or CT and the UMO has assigned an administrative reference number associated with this service review. If not required by this implementation guide, do not send."
"B","278-A3","6","0600","","","","","","","2","0600","5471","","This number can be used by the requester on a follow up request, such as an appeal (UM02=1) or request for reconsideration (UM02=6), to reference this UMO response."
"C","278-A3","6","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-A3","6","0600","REF","02","","","","","2","0600","","F","Administrative Reference Number"
"B","278-A3","6","0610","","","","","","","2","0600","4962","E","REF*BB*A123~"
"B","278-A3","6","0610","","","","","","","2","0600","5455","A","Previous Review Authorization Number"
"B","278-A3","6","0610","","","","","","","2","0600","5472","","Required when the certification number assigned by the UMO to the original service review outcome was used by the UMO to determine the outcome of this service review at the event level. If not required by this implementation guide, do not send."
"B","278-A3","6","0610","","","","","","","2","0600","5491","","This is the authorization number assigned by the UMO to the original review outcome associated with this event. This is not the trace number assigned by the requester."
"C","278-A3","6","0610","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-A3","6","0610","REF","02","","","","","2","0600","","F","Previous Review Authorization Number"
"B","278-A3","6","0700","","","","","","","2","0700","5105","A","Accident Date"
"B","278-A3","6","0700","","","","","","","2","0700","5106","E","DTP*439*D8*20050430~"
"B","278-A3","6","0700","","","","","","","2","0700","5492","","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"B","278-A3","6","0700","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0700","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0700","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0700","DTP","03","","","","","2","0700","","F","Accident Date"
"B","278-A3","6","0705","","","","","","","2","0700","5107","A","Last Menstrual Period Date"
"B","278-A3","6","0705","","","","","","","2","0700","5108","E","DTP*484*D8*20050312~"
"B","278-A3","6","0705","","","","","","","2","0700","5492","","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"B","278-A3","6","0705","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0705","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0705","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0705","DTP","03","","","","","2","0700","","F","Last Menstrual Period Date"
"B","278-A3","6","0710","","","","","","","2","0700","5109","A","Estimated Date of Birth"
"B","278-A3","6","0710","","","","","","","2","0700","5110","E","DTP*ABC*D8*20051130~"
"B","278-A3","6","0710","","","","","","","2","0700","5492","","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"B","278-A3","6","0710","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0710","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0710","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0710","DTP","03","","","","","2","0700","","F","Estimated Birth Date"
"B","278-A3","6","0715","","","","","","","2","0700","5102","A","Onset of Current Symptoms or Illness Date"
"B","278-A3","6","0715","","","","","","","2","0700","5103","E","DTP*431*D8*200504015~"
"B","278-A3","6","0715","","","","","","","2","0700","5492","","Required when valued on the request and used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"B","278-A3","6","0715","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0715","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0715","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0715","DTP","03","","","","","2","0700","","F","Onset Date"
"B","278-A3","6","0720","","","","","","","2","0700","5311","A","Event Date"
"B","278-A3","6","0720","","","","","","","2","0700","5312","E","DTP*AAH*D8*20050516~"
"B","278-A3","6","0720","","","","","","","2","0700","5407","","Required when the UMO authorizes service for a specific date or date range. If not required by this implementation guide, do not send."
"B","278-A3","6","0720","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0720","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0720","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0720","DTP","03","","","","","2","0700","","F","Proposed or Actual Event Date"
"B","278-A3","6","0725","","","","","","","2","0700","5036","A","Admission Date"
"B","278-A3","6","0725","","","","","","","2","0700","5037","E","DTP*435*D8*20050505~"
"B","278-A3","6","0725","","","","","","","2","0700","5408","","Required when the UMO authorizes admission for a specific date or date range. If not required by this implementation guide, do not send."
"B","278-A3","6","0725","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0725","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0725","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"E","278-A3","6","0725","DTP","02","","","1250","RD8","2","0700","5189","","Use this for the range of dates when admission can occur. Use the HSD segment for length of stay."
"C","278-A3","6","0725","DTP","03","","","","","2","0700","","F","Proposed or Actual Admission Date"
"B","278-A3","6","0730","","","","","","","2","0700","5038","A","Discharge Date"
"B","278-A3","6","0730","","","","","","","2","0700","5039","E","DTP*096*D8*20050509~"
"B","278-A3","6","0730","","","","","","","2","0700","5165","","Required when the UMO authorizes services or admission based on the proposed or actual discharge date. If not required by this implementation guide, do not send."
"B","278-A3","6","0730","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0730","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0730","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0730","DTP","03","","","","","2","0700","","F","Proposed or Actual Discharge Date"
"B","278-A3","6","0735","","","","","","","2","0700","5158","E","DTP*102*D8*20050502~"
"B","278-A3","6","0735","","","","","","","2","0700","5159","A","Certification Issue Date"
"B","278-A3","6","0735","","","","","","","2","0700","5190","","Required when the UMO assigns a certification issue date to this authorization. If not required by this implementation guide, do not send."
"B","278-A3","6","0735","","","","","","","2","0700","5493","","This is not the effective date of the authorization. The issue date is that date when the UMO issued the authorization."
"B","278-A3","6","0735","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0735","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0735","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0735","DTP","03","","","","","2","0700","","F","Certification Issue Date"
"B","278-A3","6","0740","","","","","","","2","0700","5040","A","Certification Expiration Date"
"B","278-A3","6","0740","","","","","","","2","0700","5041","E","DTP*036*D8*20050630~"
"B","278-A3","6","0740","","","","","","","2","0700","5208","","Required when the authorization has an expiration date to indicate the date on which the authorization will expire. If not required by this implementation guide, do not send."
"B","278-A3","6","0740","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0740","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0740","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0740","DTP","03","","","","","2","0700","","F","Certification Expiration Date"
"B","278-A3","6","0745","","","","","","","2","0700","5166","A","Certification Effective Date"
"B","278-A3","6","0745","","","","","","","2","0700","5191","E","DTP*007*RD8*20050502-20050630~"
"B","278-A3","6","0745","","","","","","","2","0700","5209","","Required when the authorization is limited by effective dates to indicate the date or date range when the authorization is effective. If not required by this implementation guide, do not send."
"B","278-A3","6","0745","","","","","","","2","0700","5559","","The total number of DTP segments in the 2000E loop cannot exceed 9."
"C","278-A3","6","0745","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A3","6","0745","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A3","6","0745","DTP","03","","","","","2","0700","","F","Certification Effective Date"
"B","278-A3","6","0800","","","","","","","2","0800","5229","E","HI*BF:41090~"
"B","278-A3","6","0800","","","","","","","2","0800","5313","A","Patient Diagnosis"
"B","278-A3","6","0800","","","","","","","2","0800","5359","","If the response has not been rendered and this segment is used to request additional information associated with a specific diagnosis, place the specific diagnosis code in the HI C022 composite that precedes the HI C022 composite(s) containing the LOINC. If the original request contained more than six diagnosis codes and you are using LOINC to request additional information for each of these diagnosis codes or if you need to specify multiple questions/LOINC codes per diagnosis you cannot exceed the limit of 12 occurrences of the C022 composite."
"B","278-A3","6","0800","","","","","","","2","0800","5494","","Required when used by the UMO to render a medical decision or if the UMO is requesting additional information. If not required by this implementation guide, do not send."
"B","278-A3","6","0800","","","","","","","2","0800","5232","","The UMO can use each occurrence of the Health Care Code Information composite (C022) to specify codes that identify the specific information that the UMO requires from the provider to complete the medical review. In the C022 composite, data elements 1270 and 1271 support the use of codes supplied from the Logical Observation Identifier Names and Codes (LOINC<B^><190><D>) List. These codes identify high-level health care information groupings, specific data elements, and associated modifiers.<R>
Refer to Section 1.12.5.2 of this guide for more information on requesting additional information in the 278 response."
"C","278-A3","6","0800","HI","01","","","","","2","0800","4984","B","Diagnosis 1"
"D","278-A3","6","0800","HI","01","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","01","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","01","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","01","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","01","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","01","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","01","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","02","","","","","2","0800","4985","B","Diagnosis 2"
"C","278-A3","6","0800","HI","02","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","02","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","02","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","02","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","02","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","02","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","02","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","02","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","03","","","","","2","0800","4986","B","Diagnosis 3"
"C","278-A3","6","0800","HI","03","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","03","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","03","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","03","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","03","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","03","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","03","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","03","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","04","","","","","2","0800","5047","B","Diagnosis 4"
"C","278-A3","6","0800","HI","04","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","04","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","04","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","04","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","04","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","04","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","04","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","04","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","05","","","","","2","0800","5048","B","Diagnosis 5"
"C","278-A3","6","0800","HI","05","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","05","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","05","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","05","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","05","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","05","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","05","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","05","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","06","","","","","2","0800","5049","B","Diagnosis 6"
"C","278-A3","6","0800","HI","06","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","06","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","06","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","06","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","06","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","06","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","06","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","06","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","07","","","","","2","0800","5050","B","Diagnosis 7"
"C","278-A3","6","0800","HI","07","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","07","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","07","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","07","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","07","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","07","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","07","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","07","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","08","","","","","2","0800","5051","B","Diagnosis 8"
"C","278-A3","6","0800","HI","08","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","08","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","08","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
"D","278-A3","6","0800","HI","08","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A3","6","0800","HI","08","C022","03","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","08","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A3","6","0800","HI","08","C022","04","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","08","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A3","6","0800","HI","09","","","","","2","0800","5052","B","Diagnosis 9"
"C","278-A3","6","0800","HI","09","","","","","2","0800","5388","D","Required when used by the UMO to render a medical decision. If not required by this implementation guide, do not send."
"D","278-A3","6","0800","HI","09","C022","01","","","2","0800","","F","Diagnosis Type Code"
"E","278-A3","6","0800","HI","09","C022","01","1270","LOI","2","0800","5473","","See Section 2.5 for information on using LOINC to request additional information."
