"A","278-A1","","","","","","","","","","","4256","","It is required that separate transaction sets be used for different patients."
"D","278-A1","6","0400","UM","04","C023","01","","","2","0400","4541","","Use to indicate a facility code value from the code source referenced in UM04-2."
"D","278-A1","6","0400","UM","04","C023","01","","","2","0400","","F","Facility Type Code"
"D","278-A1","6","0400","UM","04","C023","02","","","2","0400","","F","Facility Code Qualifier"
"C","278-A1","6","0400","UM","05","","","","","2","0400","4716","D","Required when the patient's condition is accident or employment related. If not required by this implementation guide, do not send."
"D","278-A1","6","0400","UM","05","C024","01","","","2","0400","4518","","Always use this data element if the related cause is an auto accident."
"D","278-A1","6","0400","UM","05","C024","01","","","2","0400","","F","Related Causes Code"
"D","278-A1","6","0400","UM","05","C024","02","","","2","0400","4717","D","Required when there is greater than 1 related cause for this certification. If not required by this implementation guide, do not send."
"D","278-A1","6","0400","UM","05","C024","02","","","2","0400","","F","Related Causes Code"
"D","278-A1","6","0400","UM","05","C024","03","","","2","0400","4718","D","Required when UM05 -1 and UM05-2 are not equal ""AP"" and ""AP"" applies to this patient event. If not required by this implementation guide, do not send."
"D","278-A1","6","0400","UM","05","C024","03","","","2","0400","","F","Related Causes Code"
"D","278-A1","6","0400","UM","05","C024","04","","","2","0400","4796","D","Required when UM05-1 = ""AA"" and the accident occurred out of the services provider's state. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"D","278-A1","6","0400","UM","05","C024","04","","","2","0400","","F","State or Province Code"
"D","278-A1","6","0400","UM","05","C024","05","","","2","0400","4436","D","Required when the automobile accident occurred out of the United States to identify the country in which the accident occurred. If not required by this implementation guide, do not send."
"D","278-A1","6","0400","UM","05","C024","05","","","2","0400","","F","Country Code"
"C","278-A1","6","0400","UM","06","","","","","2","0400","4907","D","Required when UM02=1 or if the patient event requires a level of service for care other than routine. If not required by this implementation guide do not send."
"C","278-A1","6","0400","UM","06","","","","","2","0400","","F","Level of Service Code"
"C","278-A1","6","0400","UM","07","","","","","2","0400","4437","D","Required when the patient's condition, as expressed by the codes in this data element, is a factor in the provider's determination of services to be performed that are not typically requested for the patient's diagnosis and proposed treatment. If not required by this implementation guide, do not send."
"C","278-A1","6","0400","UM","07","","","","","2","0400","","F","Current Health Condition Code"
"C","278-A1","6","0400","UM","08","","","","","2","0400","4438","D","Required when the patient's prognosis, as expressed by the codes in this data element, is a factor in the provider's determination of services to be performed that are not typically requested for the patient's diagnosis and proposed treatment. If not required by this implementation guide, do not send."
"C","278-A1","6","0400","UM","08","","","","","2","0400","","F","Prognosis Code"
"C","278-A1","6","0400","UM","09","","","","","2","0400","4748","","The Release of Information response is limited to the information carried in this service review."
"C","278-A1","6","0400","UM","09","","","","","2","0400","4760","D","Required when applicable legislation requires that a signature be collected and reported on this Health Care Services Review. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-A1","6","0400","UM","09","","","","","2","0400","","F","Release of Information Code"
"E","278-A1","6","0400","UM","09","","","1363","M","2","0400","4749","","For professional service, this value is only used when state or federal laws supersede the HIPAA privacy rule by requiring that the provider collect a signature and the patient is either not present or physically unable to sign at the time the provider submits the request."
"C","278-A1","6","0400","UM","10","","","","","2","0400","4719","D","Required when the request is not submitted within the normal timeframe of the UMO. If not required by this implementation guide, do not send."
"C","278-A1","6","0400","UM","10","","","","","2","0400","","F","Delay Reason Code"
"B","278-A1","6","0600","","","","","","","2","0600","4282","E","REF*BB*A123~"
"B","278-A1","6","0600","","","","","","","2","0600","4720","","This is the authorization number assigned by the UMO to the original service review outcome associated with this service review. This is not the trace number assigned by the requester."
"B","278-A1","6","0600","","","","","","","2","0600","4721","","Required when submitting an additional health care services review request associated with a request already processed by the UMO. If not required by this implementation guide, do not send."
"B","278-A1","6","0600","","","","","","","2","0600","4750","A","Previous Review Authorization Number"
"C","278-A1","6","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-A1","6","0600","REF","02","","","","","2","0600","","F","Previous Review Authorization Number"
"B","278-A1","6","0610","","","","","","","2","0600","4751","A","Previous Review Administrative Reference Number"
"B","278-A1","6","0610","","","","","","","2","0600","4752","E","REF*NT*Z123~"
"B","278-A1","6","0610","","","","","","","2","0600","4753","","Required when submitting a follow-up to a previous health care services review request for which the UMO has returned a response that contained an administrative reference number in the REF segment where REF01 = NT and did not return a certification number in HCR02. If not required by this implementation guide, do not send."
"C","278-A1","6","0610","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-A1","6","0610","REF","02","","","","","2","0600","","F","Previous Administrative Reference Number"
"B","278-A1","6","0700","","","","","","","2","0700","4403","A","Accident Date"
"B","278-A1","6","0700","","","","","","","2","0700","4404","E","DTP*439*D8*20050430~"
"B","278-A1","6","0700","","","","","","","2","0700","4639","","Required when the patient's condition is accident related and the date of the accident is known. If not required by this implementation guide, do not send."
"C","278-A1","6","0700","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0700","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0700","DTP","03","","","","","2","0700","","F","Accident Date"
"B","278-A1","6","0720","","","","","","","2","0700","4405","A","Last Menstrual Period Date"
"B","278-A1","6","0720","","","","","","","2","0700","4406","E","DTP*484*D8*20050312~"
"B","278-A1","6","0720","","","","","","","2","0700","4797","","Required when the certification is pregnancy related. If not required by this implementation guide, do not send."
"C","278-A1","6","0720","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0720","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0720","DTP","03","","","","","2","0700","","F","Last Menstrual Period Date"
"B","278-A1","6","0740","","","","","","","2","0700","4401","A","Estimated Date of Birth"
"B","278-A1","6","0740","","","","","","","2","0700","4402","E","DTP*ABC*D8*20051130~"
"B","278-A1","6","0740","","","","","","","2","0700","4798","","Required when the certification is related to the estimated date of delivery. If not required by this implementation guide, do not send."
"C","278-A1","6","0740","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0740","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0740","DTP","03","","","","","2","0700","","F","Estimated Birth Date"
"B","278-A1","6","0760","","","","","","","2","0700","4407","A","Onset of Current Symptoms or Illness Date"
"B","278-A1","6","0760","","","","","","","2","0700","4408","E","DTP*431*D8*20050415~"
"B","278-A1","6","0760","","","","","","","2","0700","4761","","Required when the date of onset of the patient's condition is different from the diagnosis date, and not accident or pregnancy related. If not required by this implementation guide, do not send."
"C","278-A1","6","0760","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0760","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0760","DTP","03","","","","","2","0700","","F","Onset Date"
"B","278-A1","6","0765","","","","","","","2","0700","4640","A","Event Date"
"B","278-A1","6","0765","","","","","","","2","0700","4641","E","DTP*AAH*D8*20050516~"
"B","278-A1","6","0765","","","","","","","2","0700","4722","","Required when the proposed or actual date or range of dates of this patient event are known and UM01 does not equal AR. If not required by this implementation guide, do not send."
"B","278-A1","6","0765","","","","","","","2","0700","4799","","If UM01 = AR use Admit Date."
"C","278-A1","6","0765","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0765","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0765","DTP","03","","","","","2","0700","","F","Proposed or Actual Event Date"
"B","278-A1","6","0770","","","","","","","2","0700","4356","A","Admission Date"
"B","278-A1","6","0770","","","","","","","2","0700","4520","E","DTP*435*D8*20050505~"
"B","278-A1","6","0770","","","","","","","2","0700","4642","","Required when requesting an admission review (UM01 = ""AR"") to identify the proposed or actual date of admission. If not required by this implementation guide, do not send."
"C","278-A1","6","0770","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0770","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"E","278-A1","6","0770","DTP","02","","","1250","RD8","2","0700","4521","","Use this for the range of dates when admission can occur. Use the HSD segment for the length of stay.;"
"C","278-A1","6","0770","DTP","03","","","","","2","0700","","F","Proposed or Actual Admission Date"
"B","278-A1","6","0775","","","","","","","2","0700","4357","A","Discharge Date"
"B","278-A1","6","0775","","","","","","","2","0700","4522","E","DTP*096*D8*20050509~"
"B","278-A1","6","0775","","","","","","","2","0700","4643","","Required when requesting an admission review (UM01 = ""AR"") and the proposed or actual date of discharge from a facility is known. If not required by this implementation guide, do not send."
"C","278-A1","6","0775","DTP","01","","","","","2","0700","","F","Date Time Qualifier"
"C","278-A1","6","0775","DTP","02","","","","","2","0700","","F","Date Time Period Format Qualifier"
"C","278-A1","6","0775","DTP","03","","","","","2","0700","","F","Proposed or Actual Discharge Date"
"B","278-A1","6","0800","","","","","","","2","0800","4516","E","HI*BF:41090:D8:20050415~"
"B","278-A1","6","0800","","","","","","","2","0800","4584","A","Patient Diagnosis"
"B","278-A1","6","0800","","","","","","","2","0800","4644","","Required when known by the requester to convey diagnosis information. If not required by this implementation guide, do not send."
"C","278-A1","6","0800","HI","01","","","","","2","0800","4515","B","Diagnosis 1"
"D","278-A1","6","0800","HI","01","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","01","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","01","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","01","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","01","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","01","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","02","","","","","2","0800","4300","B","Diagnosis 2"
"C","278-A1","6","0800","HI","02","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","02","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","02","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","02","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","02","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","02","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","02","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","03","","","","","2","0800","4301","B","Diagnosis 3"
"C","278-A1","6","0800","HI","03","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","03","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","03","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","03","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","03","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","03","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","03","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","04","","","","","2","0800","4362","B","Diagnosis 4"
"C","278-A1","6","0800","HI","04","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","04","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","04","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","04","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","04","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","04","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","04","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","05","","","","","2","0800","4363","B","Diagnosis 5"
"C","278-A1","6","0800","HI","05","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","05","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","05","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","05","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","05","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","05","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","05","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","06","","","","","2","0800","4364","B","Diagnosis 6"
"C","278-A1","6","0800","HI","06","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","06","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","06","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","06","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","06","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","06","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","06","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","07","","","","","2","0800","4365","B","Diagnosis 7"
"C","278-A1","6","0800","HI","07","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","07","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","07","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","07","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","07","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","07","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","07","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","08","","","","","2","0800","4366","B","Diagnosis 8"
"C","278-A1","6","0800","HI","08","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","08","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","08","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","08","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","08","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","08","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","08","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","09","","","","","2","0800","4367","B","Diagnosis 9"
"C","278-A1","6","0800","HI","09","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","09","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","09","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","09","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","09","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","09","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","09","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","10","","","","","2","0800","4368","B","Diagnosis 10"
"C","278-A1","6","0800","HI","10","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","10","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","10","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","10","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","10","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","10","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","10","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","11","","","","","2","0800","4369","B","Diagnosis 11"
"C","278-A1","6","0800","HI","11","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","11","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","11","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","11","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","11","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","11","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","11","C022","04","","","2","0800","","F","Diagnosis Date"
"C","278-A1","6","0800","HI","12","","","","","2","0800","4370","B","Diagnosis 12"
"C","278-A1","6","0800","HI","12","","","","","2","0800","4532","D","Required when there are additional diagnoses to communicate. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","12","C022","01","","","2","0800","","F","Diagnosis Type Code"
"D","278-A1","6","0800","HI","12","C022","02","","","2","0800","","F","Diagnosis Code"
"D","278-A1","6","0800","HI","12","C022","03","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","12","C022","03","","","2","0800","","F","Date Time Period Format Qualifier"
"D","278-A1","6","0800","HI","12","C022","04","","","2","0800","4574","D","Required when the date diagnosed is known. If not required by this implementation guide, do not send."
"D","278-A1","6","0800","HI","12","C022","04","","","2","0800","","F","Diagnosis Date"
"B","278-A1","6","0900","","","","","","","2","0900","4523","E","HSD*VS*1*DA*1*7*10~ (This indicates ""1 visit every (per) 1 day (daily) for 10 days"".)"
"B","278-A1","6","0900","","","","","","","2","0900","4524","E","HSD*VS*1*DA****W~ (This indicates ""1 visit per day whenever necessary"".)"
"B","278-A1","6","0900","","","","","","","2","0900","4669","","An explanation of the uses of this segment follows.<R>
HSD01 qualifies HSD02: If the value in HSD02=1 and the value in HSD01=VS (Visits), this means ""one visit"".
Between HSD02 and HSD03 verbally insert a ""per every"".
HSD03 qualifies HSD04: If the value in HSD04=3 and the value in HSD03=DA (Day), this means ""three days"". Between HSD04 and HSD05 verbally insert a ""for"". HSD05 qualifies HSD06: If the value in HSD06=21 and the value in HSD05=7 (Days), this means ""21 days"".
The total message reads:
HSD*VS*1*DA*3*7*21~ = ""One visit per every three days for 21 days"".<R>
Another similar data string of HSD*VS*2*DA*4*7*20~ = ""Two visits per every four days for 20 days"".<R>
An alternate way to use HSD is to employ HSD07 and/or HSD08. A data string of HSD*VS*1*****SX*D~ means ""1 visit on Wednesday and Thursday morning""."
"B","278-A1","6","0900","","","","","","","2","0900","4762","","Required when requesting services that have a specific pattern of delivery or usage. If not required by this implementation guide, do not send."
"B","278-A1","6","0900","","","","","","","2","0900","","A","Health Care Services Delivery"
"C","278-A1","6","0900","HSD","01","","","","","2","0900","4880","D","Required when HSD02 is valued to qualify the type of service count for this patient event. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","01","","","","","2","0900","","F","Quantity Qualifier"
"C","278-A1","6","0900","HSD","02","","","","","2","0900","4334","B","Service Quantity"
"C","278-A1","6","0900","HSD","02","","","","","2","0900","4723","","If this is a request for an extension to an existing certification (UM02 = 4), then HSD02 represents the number of visits by which the certification is extended. If this is a request to revise an existing certification (UM02 = S), then HSD02 represents the new total."
"C","278-A1","6","0900","HSD","02","","","","","2","0900","4800","D","Required when HSD01 is valued to indicate the service quantity. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","02","","","","","2","0900","","F","Service Unit Count"
"C","278-A1","6","0900","HSD","03","","","","","2","0900","4881","D","Required when HSD04 is valued to qualify the time frame in which the quantity of services (HSD02) will be rendered. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","03","","","","","2","0900","","F","Unit or Basis for Measurement Code"
"C","278-A1","6","0900","HSD","04","","","","","2","0900","4763","D","Required when needed to indicate the frequency for the service. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","04","","","","","2","0900","","F","Sample Selection Modulus"
"C","278-A1","6","0900","HSD","05","","","","","2","0900","4882","D","Required when patient events must be rendered within a specific timeframe. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","05","","","","","2","0900","","F","Time Period Qualifier"
"C","278-A1","6","0900","HSD","06","","","","","2","0900","4882","D","Required when patient events must be rendered within a specific timeframe. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","06","","","","","2","0900","","F","Period Count"
"C","278-A1","6","0900","HSD","07","","","","","2","0900","4332","D","Required when the patient event must be rendered within a specific calendar delivery pattern. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","07","","","","","2","0900","","F","Delivery Frequency Code"
"C","278-A1","6","0900","HSD","08","","","","","2","0900","4883","D","Required when a specific time delivery pattern for the services in this patient event must be identified. If not required by this implementation guide, do not send."
"C","278-A1","6","0900","HSD","08","","","","","2","0900","","F","Delivery Pattern Time Code"
"B","278-A1","6","1000","","","","","","","2","1000","4255","A","Ambulance Certification Information"
"B","278-A1","6","1000","","","","","","","2","1000","4283","E","CRC*07*Y*01~"
"B","278-A1","6","1000","","","","","","","2","1000","4538","","Required when health care services review is requesting ambulance certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1000","CRC","01","","","","","2","1000","4335","B","Condition Code Category"
"C","278-A1","6","1000","CRC","01","","","","","2","1000","","F","Code Category"
"C","278-A1","6","1000","CRC","02","","","","","2","1000","","F","Certification Condition Indicator"
"C","278-A1","6","1000","CRC","03","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1000","CRC","04","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1000","CRC","04","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1000","CRC","04","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1000","CRC","05","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1000","CRC","05","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1000","CRC","05","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1000","CRC","06","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1000","CRC","06","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1000","CRC","06","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1000","CRC","07","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1000","CRC","07","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1000","CRC","07","","","","","2","1000","","F","Condition Code"
"B","278-A1","6","1005","","","","","","","2","1000","4801","A","Chiropractic Certification Information"
"B","278-A1","6","1005","","","","","","","2","1000","4802","E","CRC*08*Y*14~"
"B","278-A1","6","1005","","","","","","","2","1000","4803","","Required when health care services review is requesting chiropractic certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1005","CRC","01","","","","","2","1000","4335","B","Condition Code Category"
"C","278-A1","6","1005","CRC","01","","","","","2","1000","","F","Code Category"
"C","278-A1","6","1005","CRC","02","","","","","2","1000","","F","Certification Condition Indicator"
"C","278-A1","6","1005","CRC","03","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1005","CRC","04","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1005","CRC","04","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1005","CRC","04","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1005","CRC","05","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1005","CRC","05","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1005","CRC","05","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1005","CRC","06","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1005","CRC","06","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1005","CRC","06","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1005","CRC","07","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1005","CRC","07","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1005","CRC","07","","","","","2","1000","","F","Condition Code"
"B","278-A1","6","1010","","","","","","","2","1000","4804","A","Durable Medical Equipment Information"
"B","278-A1","6","1010","","","","","","","2","1000","4805","E","CRC*09*Y*29~"
"B","278-A1","6","1010","","","","","","","2","1000","4806","","Required when health care services is requesting durable medical equipment. If not required by this implementation guide, do not send."
"C","278-A1","6","1010","CRC","01","","","","","2","1000","4335","B","Condition Code Category"
"C","278-A1","6","1010","CRC","01","","","","","2","1000","","F","Code Category"
"C","278-A1","6","1010","CRC","02","","","","","2","1000","","F","Certification Condition Indicator"
"C","278-A1","6","1010","CRC","03","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1010","CRC","04","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1010","CRC","04","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1010","CRC","04","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1010","CRC","05","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1010","CRC","05","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1010","CRC","05","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1010","CRC","06","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1010","CRC","06","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1010","CRC","06","","","","","2","1000","","F","Condition Code"
"C","278-A1","6","1010","CRC","07","","","","","2","1000","4389","D","Required when multiple conditions apply to the certification. If not required by this implementation guide, do not send."
"C","278-A1","6","1010","CRC","07","","","","","2","1000","4645","","Use codes listed in CRC03."
"C","278-A1","6","1010","CRC","07","","","","","2","1000","","F","Condition Code"
"B","278-A1","6","1015","","","","","","","2","1000","4807","A","Oxygen Therapy Certification Information"
