"A","278-B1","","","","","","","","","","","3091","","It is required that separate transaction sets be used for different patients."
"E","278-B1","1","0200","BHT","02","","","353","CN","1","0200","3335","","Use CN for administrative notification (provider to payer) of admissions, referrals, pre-certifications associated with completed events. For example, use for Notice of Admission and Notice of Discharge."
"C","278-B1","1","0200","BHT","03","","","","","1","0200","3193","","If the receiver returns a 278 acknowledgment response, this identifier must be returned in the 278 acknowledgment transaction's BHT03."
"C","278-B1","1","0200","BHT","03","","","","","1","0200","","F","Submitter Transaction Identifier"
"C","278-B1","1","0200","BHT","04","","","","","1","0200","","F","Transaction Set Creation Date"
"C","278-B1","1","0200","BHT","05","","","","","1","0200","","F","Transaction Set Creation Time"
"C","278-B1","1","0200","BHT","06","","","","","1","0200","3338","D","Required when a 278 acknowledgment response to this notification is required. If not required by this implementation guide, do not send."
"C","278-B1","1","0200","BHT","06","","","","","1","0200","3342","","If BHT06 is not valued, the information receiver shall assume that a 278 acknowledgment response is not required or desired."
"C","278-B1","1","0200","BHT","06","","","","","1","0200","","F","Transaction Type Code"
"B","278-B1","2","0100","","","","","","","2","0100","3098","E","HL*1**20*1~"
"B","278-B1","2","0100","","","","","","","2","0100","3263","","This segment identifies the information source hierarchical level. For a notification transaction, this segment corresponds to the identification of the provider, payer, HMO, delegated entity, or other utilization management organization sending this information."
"B","278-B1","2","0100","","","","","","","2","0100","3337","A","Information Source Level"
"C","278-B1","2","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B1","2","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B1","2","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B1","2","1700","","","","","","","2","1700","3270","E","NM1*1P*1*GARDENER*JAMES****24*000012345~"
"B","278-B1","2","1700","","","","","","","2","1700","3339","A","Information Source Name"
"B","278-B1","2","1700","","","","","","","2","1700","3436","","The first occurrence of the NM1 loop is required and identifies the notification sender. In most cases, the sender is the same entity as the information source. The information source is the entity that determined the outcome of a health services review or the owner of the information."
"B","278-B1","2","1700","","","","","","","2","1700","3437","","The second NM1 loop may be used when the sender is not the same entity as the information source, or if there is a need to identify another requesting entity that was neither the sender or the information source."
"C","278-B1","2","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","2","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","2","1700","NM1","03","","","","","2","1700","3413","D","Required when name information is needed to identify the information source. If not required by this implementation guide, do not send."
"C","278-B1","2","1700","NM1","03","","","","","2","1700","","F","Information Source Last or Organization Name"
"C","278-B1","2","1700","NM1","04","","","","","2","1700","3194","D","Required when NM103 is valued and the information source is an individual (NM102 = 1), such as a primary care provider. If not required by this implementation guide, do not send."
"C","278-B1","2","1700","NM1","04","","","","","2","1700","","F","Information Source First Name"
"C","278-B1","2","1700","NM1","05","","","","","2","1700","3195","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-B1","2","1700","NM1","05","","","","","2","1700","","F","Information Source Middle Name"
"C","278-B1","2","1700","NM1","07","","","","","2","1700","3414","D","Required when NM104 is present and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-B1","2","1700","NM1","07","","","","","2","1700","","F","Information Source Name Suffix"
"C","278-B1","2","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B1","2","1700","NM1","08","","","66","PI","2","1700","3196","","Use until the National PlanID is mandated if the UMO is a payer."
"E","278-B1","2","1700","NM1","08","","","66","XX","2","1700","3751","","Required for providers in the United States or its territories on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider is eligible to receive an NPI;
OR
Required for providers not in the United States or its territories on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has received an NPI;
OR
Required for providers prior to the mandated NPI implementation date when the provider has received an NPI and the submitter has the capability to send it;<R>
If not required by this implementation guide, do not send."
"C","278-B1","2","1700","NM1","09","","","","","2","1700","","F","Information Source Identifier"
"B","278-B1","2","1800","","","","","","","2","1800","3101","E","REF*1G*123456~"
"B","278-B1","2","1800","","","","","","","2","1800","3340","A","Information Source Supplemental Identification"
"B","278-B1","2","1800","","","","","","","2","1800","3752","","Required prior to the mandated HIPAA National Provider Identifier (NPI) implementation date when an identification number other than the NPI is necessary for the UMO to identify the provider;<R>OR<R>Required after the mandated NPI implementation date, when the entity is a non-health care provider, and an identifier is necessary for the UMO to identify the entity.<R>If not required by this implementation guide, do not send."
"B","278-B1","2","1800","","","","","","","2","1800","3753","","Use the NM1 segment for the primary identifier."
"C","278-B1","2","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","2","1800","REF","01","","","128","EI","2","1800","3200","","Not used if NM108 = 24."
"E","278-B1","2","1800","REF","01","","","128","SY","2","1800","3615","","Not used if NM108 = 34."
"E","278-B1","2","1800","REF","01","","","128","ZH","2","1800","3341","","Use if the sender or information source is a provider to indicate the identifier assigned to the provider by the receiver identified in Loop 2000B."
"C","278-B1","2","1800","REF","02","","","","","2","1800","","F","Information Source Supplemental Identifier"
"B","278-B1","2","2000","","","","","","","2","2000","3280","E","N3*43 SUNRISE BLVD*SUITE 234~"
"B","278-B1","2","2000","","","","","","","2","2000","3343","A","Information Source Address"
"B","278-B1","2","2000","","","","","","","2","2000","3415","","Required when necessary to identify the information source by location. If not required, by this implementation guide, do not send."
"B","278-B1","2","2000","","","","","","","2","2000","3616","","Used to identify a specific location when the information source has multiple locations and his authority varies based on location."
"C","278-B1","2","2000","N3","01","","","","","2","2000","3617","","Use this element for the first line of the information source address."
"C","278-B1","2","2000","N3","01","","","","","2","2000","","F","Information Source Address Line"
"C","278-B1","2","2000","N3","02","","","","","2","2000","3192","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-B1","2","2000","N3","02","","","","","2","2000","","F","Information Source Address Line"
"B","278-B1","2","2100","","","","","","","2","2100","3691","E","N4*KANSAS CITY*MO*64108~"
"B","278-B1","2","2100","","","","","","","2","2100","3772","A","Information Source City, State, ZIP Code"
"B","278-B1","2","2100","","","","","","","2","2100","3773","","Required when necessary to identify the information source by location. If not required, by this implementation guide, do not send."
"C","278-B1","2","2100","N4","01","","","","","2","2100","","F","Information Source City Name"
"C","278-B1","2","2100","N4","02","","","","","2","2100","3692","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-B1","2","2100","N4","02","","","","","2","2100","","F","Information Source State Code"
"C","278-B1","2","2100","N4","03","","","","","2","2100","3693","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-B1","2","2100","N4","03","","","","","2","2100","","F","Information Source Postal Zone or ZIP Code"
"C","278-B1","2","2100","N4","04","","","","","2","2100","3202","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-B1","2","2100","N4","04","","","","","2","2100","3694","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-B1","2","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-B1","2","2100","N4","07","","","","","2","2100","3695","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-B1","2","2100","N4","07","","","","","2","2100","3696","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-B1","2","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-B1","2","2200","","","","","","","2","2200","3102","E","PER*IC*WILBER*TE*8189991234*FX*8188769304~"
"B","278-B1","2","2200","","","","","","","2","2200","3275","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc.), the communication number should always include the area code and telephone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"B","278-B1","2","2200","","","","","","","2","2200","3344","A","Information Source Contact Information"
"B","278-B1","2","2200","","","","","","","2","2200","3345","","Required when the information receiver must direct requests for follow up to a specific contact, electronic mail, facsimile, or phone number. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-B1","2","2200","PER","02","","","","","2","2200","3746","D","Required when the response must be directed to a particular contact and the name of the entity to contact is not already defined or is different than the name within the prior name segment (e.g. N1 or NM1). If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","02","","","","","2","2200","","F","Information Source Contact Name"
"C","278-B1","2","2200","PER","03","","","","","2","2200","3417","D","Required when PER02 is not valued to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","2","2200","PER","03","","","365","UR","2","2200","3542","","Must not contain any characters used as delimiters in this transaction."
"C","278-B1","2","2200","PER","04","","","","","2","2200","3417","D","Required when PER02 is not valued to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","04","","","","","2","2200","","F","Information Source Contact Communication Number"
"C","278-B1","2","2200","PER","05","","","","","2","2200","3190","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","2","2200","PER","05","","","365","UR","2","2200","3542","","Must not contain any characters used as delimiters in this transaction."
"C","278-B1","2","2200","PER","06","","","","","2","2200","3190","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","06","","","","","2","2200","","F","Information Source Contact Communication Number"
"C","278-B1","2","2200","PER","07","","","","","2","2200","3190","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B1","2","2200","PER","07","","","365","UR","2","2200","3542","","Must not contain any characters used as delimiters in this transaction."
"C","278-B1","2","2200","PER","08","","","","","2","2200","3190","D","Required when the telephone extension or multiple communication numbers are available. If not required by this implementation guide, do not send."
"C","278-B1","2","2200","PER","08","","","","","2","2200","","F","Information Source Contact Communication Number"
"B","278-B1","2","2400","","","","","","","2","2400","3264","E","PRV*PC*PXC*203BS0133X~"
"B","278-B1","2","2400","","","","","","","2","2400","3276","","PRV02 qualifies PRV03."
"B","278-B1","2","2400","","","","","","","2","2400","3346","A","Information Source Provider Information"
"B","278-B1","2","2400","","","","","","","2","2400","3347","","Required when the information source is a provider and the provider's role in the care of the patient or the provider's specialty is needed to further identify the provider. If not required by this implementation guide, may be provided at the sender's discretion, but cannot be required by the receiver."
"C","278-B1","2","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"C","278-B1","2","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-B1","2","2400","PRV","03","","","","","2","2400","3265","B","Provider Specialty Code"
"C","278-B1","2","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-B1","3","0100","","","","","","","2","0100","3100","E","HL*2*1*21*1~"
"B","278-B1","3","0100","","","","","","","2","0100","3348","A","Information Receiver Level"
"B","278-B1","3","0100","","","","","","","2","0100","3349","","This segment indicates the health care services review notification information receiver."
"C","278-B1","3","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B1","3","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B1","3","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B1","3","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B1","3","1700","","","","","","","2","1700","3093","","This segment identifies the receiver of information."
"B","278-B1","3","1700","","","","","","","2","1700","3099","E","NM1*X3*2*ABC PAYER*****46*123450000~"
"B","278-B1","3","1700","","","","","","","2","1700","3350","A","Information Receiver Name"
"C","278-B1","3","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","3","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","3","1700","NM1","03","","","","","2","1700","3198","D","Required when name information is needed to identify the receiver. If not required by this implementation guide, may be provided at the sender's discretion but cannot be required by the receiver."
"C","278-B1","3","1700","NM1","03","","","","","2","1700","","F","Information Receiver Last or Organization Name"
"C","278-B1","3","1700","NM1","04","","","","","2","1700","3199","D","Required when NM103 is present and NM102 = 1. If not required by this implementation guide, do not send."
"C","278-B1","3","1700","NM1","04","","","","","2","1700","","F","Information Receiver First Name"
"C","278-B1","3","1700","NM1","05","","","","","2","1700","3433","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-B1","3","1700","NM1","05","","","","","2","1700","","F","Information Receiver Middle Name"
"C","278-B1","3","1700","NM1","07","","","","","2","1700","3414","D","Required when NM104 is present and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-B1","3","1700","NM1","07","","","","","2","1700","","F","Information Receiver Name Suffix"
"C","278-B1","3","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B1","3","1700","NM1","08","","","66","PI","2","1700","3351","","Use until the National PlanID is mandated if the information receiver is a payer."
"E","278-B1","3","1700","NM1","08","","","66","XX","2","1700","3757","","Required for providers on or after the mandated HIPAA National Provider Identifier (NPI) implementation date when the provider has an NPI and it is available to the submitter.
OR
Required for providers before the mandated HIPAA NPI implementation date when the provider has an NPI and the submitter has the capability to send it.<R>
If not required by this implementation guide, do not send."
"C","278-B1","3","1700","NM1","09","","","","","2","1700","","F","Information Receiver Identifier"
"B","278-B1","4","0100","","","","","","","2","0100","3103","E","HL*3*2*22*1~"
"B","278-B1","4","0100","","","","","","","2","0100","3121","A","Subscriber Level"
"B","278-B1","4","0100","","","","","","","2","0100","3203","","This segment indicates the subscriber hierarchical level. This segment corresponds to the identification of the subscriber or individual insured member. The subscriber could also be the patient. If the subscriber is the patient or the patient has a unique insurance identifier, the dependent hierarchical level (Loop 2000D) is not used."
"C","278-B1","4","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B1","4","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B1","4","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B1","4","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B1","4","1700","","","","","","","2","1700","3125","A","Subscriber Name"
"B","278-B1","4","1700","","","","","","","2","1700","3272","E","NM1*IL*1*SMITH*JOE****MI*12345678901~"
"B","278-B1","4","1700","","","","","","","2","1700","3295","","This segment conveys the name and identification number of the subscriber (who may also be the patient)."
"B","278-B1","4","1700","","","","","","","2","1700","3212","","The Member Identification Number (NM108/NM109) is required and may be adequate to identify the subscriber to the UMO. However, the UMO can require additional information. The maximum data elements that the UMO can require to identify the subscriber, in addition to the member ID are as follows:
Subscriber Last Name (NM103)
Subscriber First Name (NM104)
Subscriber Birth Date (DMG01 and DMG02)"
"B","278-B1","4","1700","","","","","","","2","1700","3697","","Refer to Section 1.11.2.1, Identifying the Subscriber/Patient."
"C","278-B1","4","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","4","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","4","1700","NM1","03","","","","","2","1700","3213","D","Required when name information is needed by the receiver to identify the Subscriber. If not required by this implementation guide, do not send."
"C","278-B1","4","1700","NM1","03","","","","","2","1700","","F","Subscriber Last Name"
"C","278-B1","4","1700","NM1","04","","","","","2","1700","3213","D","Required when name information is needed by the receiver to identify the Subscriber. If not required by this implementation guide, do not send."
"C","278-B1","4","1700","NM1","04","","","","","2","1700","","F","Subscriber First Name"
"C","278-B1","4","1700","NM1","05","","","","","2","1700","3214","D","Required when name information is needed by the receiver to identify the Subscriber and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-B1","4","1700","NM1","05","","","","","2","1700","","F","Subscriber Middle Name or Initial"
"C","278-B1","4","1700","NM1","07","","","","","2","1700","3421","D","Required when the suffix is needed to further identify the patient; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-B1","4","1700","NM1","07","","","","","2","1700","","F","Subscriber Name Suffix"
"C","278-B1","4","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B1","4","1700","NM1","08","","","66","MI","2","1700","3292","","The code MI is intended to be the subscriber's identification number as assigned by the payer. Payers use different terminology to convey the same number. Use MI - Member Identification Number to convey the following terms:
Insured's ID, Subscriber's ID, Health Insurance Claim Number (HIC), etc."
"C","278-B1","4","1700","NM1","09","","","","","2","1700","3126","B","Subscriber Member Number"
"C","278-B1","4","1700","NM1","09","","","","","2","1700","","F","Subscriber Primary Identifier"
"B","278-B1","4","1800","","","","","","","2","1800","3104","E","REF*SY*123456789~"
"B","278-B1","4","1800","","","","","","","2","1800","3127","A","Subscriber Supplemental Identification"
"B","278-B1","4","1800","","","","","","","2","1800","3216","","Required when needed to provide a supplemental identifier for the subscriber. If not required by this implementation guide, do not send.<R><R>The primary identifier is the Member Identification Number in the NM1 segment."
"B","278-B1","4","1800","","","","","","","2","1800","3217","","Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number is to be provided in the NM1 segment as a Member Identification Number when it is the primary number a UMO knows a member by (such as for Medicare or Medicaid). Do not use this segment for the Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number unless they are different from the Member Identification Number provided in the NM1 segment."
"B","278-B1","4","1800","","","","","","","2","1800","3273","","If the information source values this segment with the Patient Account Number (REF01=""EJ"") on the notification, the notification receiver must return the same value in this segment on the acknowledgment response if one is returned."
"C","278-B1","4","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B1","4","1800","REF","01","","","128","1L","2","1800","3293","","Use this code only if you cannot determine if the number is a Group Number (6P) or a Policy Number (IG)."
"E","278-B1","4","1800","REF","01","","","128","EJ","2","1800","3754","","Use this code only if the subscriber is the patient.<R>
The maximum number of characters to be supported for this qualifier is `20'. Characters beyond the maximum are not required to be stored nor returned by any receiving system."
"E","278-B1","4","1800","REF","01","","","128","F6","2","1800","3165","","Use the NM1 (Subscriber Name) segment if the subscriber's HIC number is the primary identifier for his or her coverage. Use this code only in a REF segment when the payer has a different member number, and there is also a need to pass the subscriber's HIC number. This might occur in a Medicare HMO situation."
"E","278-B1","4","1800","REF","01","","","128","HJ","2","1800","3215","","Use this code when the Identity Card Number differs from the Member Identification Number. This is particularly prevalent in the Medicaid environment."
"E","278-B1","4","1800","REF","01","","","128","SY","2","1800","3313","","Use this code only if the Social Security Number was not used by the payer as its primary method of identifying the subscriber. The social security number may not be used for Medicare."
"C","278-B1","4","1800","REF","02","","","","","2","1800","","F","Subscriber Supplemental Identifier"
"B","278-B1","4","2000","","","","","","","2","2000","3353","A","Subscriber Address"
"B","278-B1","4","2000","","","","","","","2","2000","3354","E","N3*PO Box 171021~"
"B","278-B1","4","2000","","","","","","","2","2000","3355","","Required when the subscriber is the patient and the current address of the patient is used to determine the appropriate location or network of service. If not required by this implementation guide, do not send."
"C","278-B1","4","2000","N3","01","","","","","2","2000","3356","","Use this element for the first line of the Subscriber mailing address."
"C","278-B1","4","2000","N3","01","","","","","2","2000","","F","Subscriber Address Line"
"C","278-B1","4","2000","N3","02","","","","","2","2000","3192","D","Required when a second address line exists. If not required by this implementation guide, do not send."
"C","278-B1","4","2000","N3","02","","","","","2","2000","","F","Subscriber Address Line"
"B","278-B1","4","2100","","","","","","","2","2100","3691","E","N4*KANSAS CITY*MO*64108~"
"B","278-B1","4","2100","","","","","","","2","2100","3774","A","Subscriber City, State, ZIP Code"
"B","278-B1","4","2100","","","","","","","2","2100","3775","","Required when the subscriber is the patient and the current address of the patient is used to determine the appropriate location or network of service. If not required by this implementation guide, do not send."
"C","278-B1","4","2100","N4","01","","","","","2","2100","","F","Subscriber City Name"
"C","278-B1","4","2100","N4","02","","","","","2","2100","3692","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","278-B1","4","2100","N4","02","","","","","2","2100","","F","Subscriber State Code"
"C","278-B1","4","2100","N4","03","","","","","2","2100","3693","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","278-B1","4","2100","N4","03","","","","","2","2100","","F","Subscriber Postal Zone or ZIP Code"
"C","278-B1","4","2100","N4","04","","","","","2","2100","3202","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","278-B1","4","2100","N4","04","","","","","2","2100","3694","","Use the alpha-2 country codes from Part 1 of ISO 3166."
"C","278-B1","4","2100","N4","04","","","","","2","2100","","F","Country Code"
"C","278-B1","4","2100","N4","07","","","","","2","2100","3695","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","278-B1","4","2100","N4","07","","","","","2","2100","3696","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","278-B1","4","2100","N4","07","","","","","2","2100","","F","Country Subdivision Code"
"B","278-B1","4","2500","","","","","","","2","2500","3105","E","DMG*D8*19580322*M~"
"B","278-B1","4","2500","","","","","","","2","2500","3128","A","Subscriber Demographic Information"
"B","278-B1","4","2500","","","","","","","2","2500","3218","","Required when birth date is needed to identify the patient or when gender information was used to render a medical decision. If not required by this implementation guide, do not send."
"C","278-B1","4","2500","DMG","01","","","","","2","2500","","F","Date Time Period Format Qualifier"
"C","278-B1","4","2500","DMG","02","","","","","2","2500","3119","B","Subscriber Birth Date"
"C","278-B1","4","2500","DMG","02","","","","","2","2500","","F","Subscriber Birth Date"
"C","278-B1","4","2500","DMG","03","","","","","2","2500","3422","D","Required when gender (DMG03) was used to determine medical necessity. If not required by this implementation guide, do not send."
"C","278-B1","4","2500","DMG","03","","","","","2","2500","","F","Subscriber Gender Code"
"B","278-B1","4","2600","","","","","","","2","2600","3357","A","Subscriber Relationship"
"B","278-B1","4","2600","","","","","","","2","2600","3358","E","INS*Y*18******AO~"
"B","278-B1","4","2600","","","","","","","2","2600","3359","","Required when the subscriber's role in the military was used to determine the appropriate benefit/level of care. If not required by this implementation guide, do not send."
"C","278-B1","4","2600","INS","01","","","","","2","2600","","F","Insured Indicator"
"C","278-B1","4","2600","INS","02","","","","","2","2600","3187","B","Relationship to Insured Code"
"C","278-B1","4","2600","INS","02","","","","","2","2600","","F","Individual Relationship Code"
"C","278-B1","4","2600","INS","08","","","","","2","2600","3360","","Use to qualify the patient's relationship to the military."
"C","278-B1","4","2600","INS","08","","","","","2","2600","","F","Employment Status Code"
"B","278-B1","5","0100","","","","","","","2","0100","3106","E","HL*4*3*23*1~"
"B","278-B1","5","0100","","","","","","","2","0100","3129","A","Dependent Level"
"B","278-B1","5","0100","","","","","","","2","0100","3219","","This hierarchical loop is required when the patient is someone other than the subscriber and the patient does not have a unique (different from the subscriber) member ID. If not required by this implementation guide, do not send."
"B","278-B1","5","0100","","","","","","","2","0100","3220","","If the patient has a unique member ID, use Loop 2000C to identify the patient."
"B","278-B1","5","0100","","","","","","","2","0100","3221","","Required segments in this loop are required only when this loop is used."
"C","278-B1","5","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B1","5","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B1","5","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B1","5","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B1","5","1700","","","","","","","2","1700","3142","A","Dependent Name"
"B","278-B1","5","1700","","","","","","","2","1700","3274","E","NM1*QC*1*SMITH*MARY~"
"B","278-B1","5","1700","","","","","","","2","1700","3282","","This segment conveys the name of the dependent who is the patient."
"B","278-B1","5","1700","","","","","","","2","1700","3223","","The maximum data elements in Loop 2010D that can be required by a UMO to identify a dependent are as follows:
Dependent Last Name (NM103)
Dependent First Name (NM104)
Dependent Birth Date (DMG01 and DMG02)"
"C","278-B1","5","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B1","5","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B1","5","1700","NM1","03","","","","","2","1700","3423","D","Required when name information is needed by the UMO to identify the Dependent. If not required by this implementation guide, do not send."
"C","278-B1","5","1700","NM1","03","","","","","2","1700","","F","Dependent Last Name"
"C","278-B1","5","1700","NM1","04","","","","","2","1700","3423","D","Required when name information is needed by the UMO to identify the Dependent. If not required by this implementation guide, do not send."
"C","278-B1","5","1700","NM1","04","","","","","2","1700","","F","Dependent First Name"
"C","278-B1","5","1700","NM1","05","","","","","2","1700","3424","D","Required when name information is needed by the UMO to identify the Dependent and the middle name/initial of the dependent is known. If not required by this implementation guide, do not send."
"C","278-B1","5","1700","NM1","05","","","","","2","1700","","F","Dependent Middle Name"
"C","278-B1","5","1700","NM1","07","","","","","2","1700","3425","D","Required when name information is needed by the UMO to identify the Dependent and the suffix of an individual's name; e.g. Sr., Jr., or III of the dependent is known. If not required by this implementation guide, do not send."
"C","278-B1","5","1700","NM1","07","","","","","2","1700","","F","Dependent Name Suffix"
"B","278-B1","5","1800","","","","","","","2","1800","3107","E","REF*SY*123456789~"
"B","278-B1","5","1800","","","","","","","2","1800","3143","A","Dependent Supplemental Identification"
"B","278-B1","5","1800","","","","","","","2","1800","3224","","Required when needed to provide a supplemental identifier for the dependent. If not required by this implementation guide, do not send."
