"A","275-A9","","","","","","","","","","","114","","Additional Information to Support a Health Care Claim or Encounter"
"B","275-A9","1","2250","","","","","","","1","1200","1000253","E","N3*123 Main St~"
"C","275-A9","1","2250","N3","01","","","","","1","1200","","F","Provider Address Line"
"C","275-A9","1","2250","N3","02","","","","","1","1200","1000254","D","Required when the provider's street address includes a second line. If not required by this implementation guide, do not send."
"C","275-A9","1","2250","N3","02","","","","","1","1200","","F","Provider Address Line"
"B","275-A9","1","2255","","","","","","","1","1300","1000229","E","N4*KANSAS CITY*MO*64108~"
"B","275-A9","1","2255","","","","","","","1","1300","1000255","A","Provider City, State, ZIP Code"
"C","275-A9","1","2255","N4","01","","","","","1","1300","","F","Provider City Name"
"C","275-A9","1","2255","N4","02","","","","","1","1300","1000230","D","Required when the address is in the United States of America, including its territories, or Canada. If not required by this implementation guide, do not send."
"C","275-A9","1","2255","N4","02","","","","","1","1300","","F","Provider State or Province Code"
"C","275-A9","1","2255","N4","03","","","","","1","1300","1000231","D","Required when the address is in the United States of America, including its territories, or Canada, or when a postal code exists for the country in N404. If not required by this implementation guide, do not send."
"C","275-A9","1","2255","N4","03","","","","","1","1300","","F","Postal Code"
"C","275-A9","1","2255","N4","04","","","","","1","1300","1000232","D","Required when the address is outside the United States of America. If not required by this implementation guide, do not send."
"C","275-A9","1","2255","N4","04","","","","","1","1300","1000233","","Use the alpha-2 country codes from Part 1 of ISO 316."
"C","275-A9","1","2255","N4","04","","","","","1","1300","","F","Country Code"
"C","275-A9","1","2255","N4","07","","","","","1","1300","1000234","D","Required when the address is not in the United States of America, including its territories, or Canada, and the country in N404 has administrative subdivisions such as but not limited to states, provinces, cantons, etc. If not required by this implementation guide, do not send."
"C","275-A9","1","2255","N4","07","","","","","1","1300","1000235","","Use the country subdivision codes from Part 2 of ISO 3166."
"C","275-A9","1","2255","N4","07","","","","","1","1300","","F","Country Subdivision Code"
"B","275-A9","1","2500","","","","","","","1","0500","62","A","Patient Name"
"B","275-A9","1","2500","","","","","","","1","0500","1000181","E","NM1*QC*1*SMITH*JOHN*H***MI*987654320~"
"C","275-A9","1","2500","NM1","01","","","","","1","0500","","F","Entity Identifier Code"
"C","275-A9","1","2500","NM1","02","","","","","1","0500","","F","Entity Type Qualifier"
"C","275-A9","1","2500","NM1","03","","","","","1","0500","","F","Patient Last Name"
"C","275-A9","1","2500","NM1","04","","","","","1","0500","169","D","Required when the value in NM102 is 1 and the person's first name is known. If not required by this implementation guide, do not send."
"C","275-A9","1","2500","NM1","04","","","","","1","0500","","F","Patient First Name"
"C","275-A9","1","2500","NM1","05","","","","","1","0500","151","D","Required when the value in NM102 is 1 and the person's middle name/initial is known. If not required by this implementation guide, do not send."
"C","275-A9","1","2500","NM1","05","","","","","1","0500","","F","Patient Middle Name or Initial"
"C","275-A9","1","2500","NM1","07","","","","","1","0500","171","D","Required when the value in NM102 is 1 and the suffix is known. For example, I, II, III, IV, JR, SR. If not required by this implementation guide, do not send."
"C","275-A9","1","2500","NM1","07","","","","","1","0500","","F","Patient Name Suffix"
"C","275-A9","1","2500","NM1","08","","","","","1","0500","","F","Identification Code Qualifier"
"E","275-A9","1","2500","NM1","08","","","66","II","1","0500","1000237","","Required if the HIPAA Individual Patient Identifier is mandated for use. Otherwise, another listed code must be used."
"E","275-A9","1","2500","NM1","08","","","66","MI","1","0500","1000236","","The code ""MI"" is intended to be the patient's identification number as assigned by the payer. Payers use different terminology to convey the same number. The Member Identification Number is used to convey the following terms: Insured's ID, Subscriber's ID, Health Insurance Claim Number (HIC), etc."
"C","275-A9","1","2500","NM1","09","","","","","1","0500","","F","Patient Primary Identifier"
"B","275-A9","1","3000","","","","","","","1","1000","65","E","REF*EJ*ME1234~"
"B","275-A9","1","3000","","","","","","","1","1000","1000238","A","Patient Control Number"
"B","275-A9","1","3000","","","","","","","1","1000","1000239","","When the value in BGN01 of the 275 is 02, the Patient Control Number must be the same number as reported in CLM01 of the 2300 loop in the 837. When the value in BGN01 is 11, the Patient Control Number must be the same number as reported in REF02 of the 2200D loop in the 277."
"C","275-A9","1","3000","REF","01","","","","","1","1000","","F","Reference Identification Qualifier"
"C","275-A9","1","3000","REF","02","","","","","1","1000","1000147","","The maximum number of characters to be supported for this data element is <169>20<170>. A provider may submit fewer characters depending upon their needs. However, the HIPAA maximum requirement to be supported by any responding system is <169>20<170>. Characters beyond <169>20<170> are not required to be stored nor returned by any 837 receiving system."
"C","275-A9","1","3000","REF","02","","","","","1","1000","","F","Patient Control Number"
"B","275-A9","1","3010","","","","","","","1","1000","1000264","A","Institutional Type Of Bill"
