"A","278-B2","","","","","","","","","","","3790","","It is required that separate transaction sets be used for different patients."
"B","278-B2","2","0100","","","","","","","2","0100","3981","","This segment indicates the information source hierarchical level. The information source corresponds to the source of the notification or information copy."
"B","278-B2","2","0100","","","","","","","2","0100","4071","A","Information Source Level"
"C","278-B2","2","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","2","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","2","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","2","0300","","","","","","","2","0300","3982","","Required when the notification cannot be processed at a system or application level based on the trading partner information contained in the Functional Group Header (GS). If not required by this implementation guide, do not send."
"B","278-B2","2","0300","","","","","","","2","0300","4004","E","AAA*N**42*Y~"
"B","278-B2","2","0300","","","","","","","2","0300","4072","A","Notification Validation"
"C","278-B2","2","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"E","278-B2","2","0300","AAA","01","","","1073","N","2","0300","3909","","Use this code to indicate that the notification transaction has been rejected as identified by the code in AAA03."
"C","278-B2","2","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B2","2","0300","AAA","03","","","901","04","2","0300","4012","","Use this code to indicate that the functional group exceeds the maximum number of transactions as specified by agreement between the application sender GS02 and application receiver GS03."
"E","278-B2","2","0300","AAA","03","","","901","41","2","0300","4013","","Use this code to indicate that the application sender (GS02) and application receiver (GS03) do not have a trading partner agreement for the transaction sets identified in GS01 or transaction sets with the purpose identified in BHT02. The 278 transaction set has three different implementations. The transaction set purpose, as identified in BHT02, specifies the implementation."
"E","278-B2","2","0300","AAA","03","","","901","42","2","0300","4014","","Use this code to indicate that the entity responsible for forwarding the request to the information receiver (Loop 2010B) is unable to process the transaction at the current time. This indicates a problem in the system forwarding the notification transaction and not in the information receiver's system."
"E","278-B2","2","0300","AAA","03","","","901","79","2","0300","3983","","Use this code to indicate that the identifier used in GS02 or GS03 is invalid or unknown."
"C","278-B2","2","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-B2","2","1700","","","","","","","2","1700","3797","E","NM1*1P*1*GARDNER*JAMES****24*000012345~"
"B","278-B2","2","1700","","","","","","","2","1700","4073","A","Information Source Name"
"B","278-B2","2","1700","","","","","","","2","1700","4074","","This NM1 loop identifies the notification sender. In most cases, the sender is the same entity as the information source. The information source is the entity that determined the outcome of a health services review or the owner of the information.<R>
If the sender is not the same entity as the information source, use the first NM1 loop to identify the information sender and the second NM1 loop to identify the information source."
"B","278-B2","2","1700","","","","","","","2","1700","4112","","The second NM1 loop is required when the sender is not the same entity as the information source. If not required by this implementation guide, do not send."
"C","278-B2","2","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","2","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","2","1700","NM1","03","","","","","2","1700","4002","D","Required when the responder needs to identify the notification source or sender by name. If not required by this implementation guide, do not send."
"C","278-B2","2","1700","NM1","03","","","","","2","1700","","F","Information Source Last or Organization Name"
"C","278-B2","2","1700","NM1","04","","","","","2","1700","3910","D","Required when NM103 is valued and the reviewing entity is an individual (NM102 = 1), such as a primary care provider. If not required by this implementation guide, do not send."
"C","278-B2","2","1700","NM1","04","","","","","2","1700","","F","Information Source First Name"
"C","278-B2","2","1700","NM1","05","","","","","2","1700","3911","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-B2","2","1700","NM1","05","","","","","2","1700","","F","Information Source Middle Name"
"C","278-B2","2","1700","NM1","07","","","","","2","1700","3912","D","Required when NM104 is valued and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-B2","2","1700","NM1","07","","","","","2","1700","","F","Information Source Name Suffix"
"C","278-B2","2","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","2","1700","NM1","08","","","66","PI","2","1700","3969","","Use until the National PlanID is mandated if the information source is a payer."
"C","278-B2","2","1700","NM1","09","","","","","2","1700","","F","Information Source Identifier"
"B","278-B2","2","1800","","","","","","","2","1800","3798","E","REF*1G*123456~"
"B","278-B2","2","1800","","","","","","","2","1800","4075","A","Information Source Supplemental Identification"
"B","278-B2","2","1800","","","","","","","2","1800","4076","","Required when valued on the notification and used by the receiver to identify the information source or sender. If not required by this implementation guide, do not send."
"C","278-B2","2","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B2","2","1800","REF","01","","","128","EI","2","1800","3919","","Not used if NM108 = 24."
"E","278-B2","2","1800","REF","01","","","128","SY","2","1800","4020","","The social security number may not be used for Medicare. Not used if NM108 = 34."
"E","278-B2","2","1800","REF","01","","","128","ZH","2","1800","4077","","Use if the sender or information source is a provider to indicate the identifier assigned to the provider by the receiver identified in Loop 2000B."
"C","278-B2","2","1800","REF","02","","","","","2","1800","","F","Information Source Supplemental Identifier"
"B","278-B2","2","2300","","","","","","","2","2300","4005","E","AAA*N**46*C~"
"B","278-B2","2","2300","","","","","","","2","2300","4078","A","Information Source Validation"
"B","278-B2","2","2300","","","","","","","2","2300","4079","","Use this segment to convey rejection information regarding the entity;that initiated a notification or information copy transaction."
"B","278-B2","2","2300","","","","","","","2","2300","4080","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","2","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","2","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","2","2300","AAA","03","","","901","50","2","2300","4081","","Use if the provider is not authorized for notifications."
"E","278-B2","2","2300","AAA","03","","","901","79","2","2300","4082","","Use for invalid/missing information source supplemental identifier."
"C","278-B2","2","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","2","2400","","","","","","","2","2400","3920","E","PRV*PC*PXC*203BS0133X~"
"B","278-B2","2","2400","","","","","","","2","2400","4083","A","Information Source Provider Information"
"B","278-B2","2","2400","","","","","","","2","2400","4084","","Required when used by the information receiver to identify the information source. If not required by this implementation guide, do not send."
"C","278-B2","2","2400","PRV","01","","","","","2","2400","","F","Provider Code"
"C","278-B2","2","2400","PRV","02","","","","","2","2400","","F","Reference Identification Qualifier"
"C","278-B2","2","2400","PRV","03","","","","","2","2400","3970","B","Provider Specialty Code"
"C","278-B2","2","2400","PRV","03","","","","","2","2400","","F","Provider Taxonomy Code"
"B","278-B2","3","0100","","","","","","","2","0100","3796","E","HL*2*1*21*1~"
"B","278-B2","3","0100","","","","","","","2","0100","3916","","This segment indicates the health care services review information receiver. The information receiver is the entity that received the notification."
"B","278-B2","3","0100","","","","","","","2","0100","4085","A","Information Receiver Level"
"B","278-B2","3","0100","","","","","","","2","0100","4086","","Required when this loop is used. If the information receiver's system processed any of the information contained in Loop 2000B of the notification, the acknowledgment must return Loop 2000B. If the information receiver's system was unable to process any data beyond Loop 2000A of the notification, then Loop 2000B is not used. If not required by this implementation guide, do not send."
"C","278-B2","3","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","3","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B2","3","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","3","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","3","1700","","","","","","","2","1700","3795","E","NM1*X3*2*ABC PAYER*****46*123450000~"
"B","278-B2","3","1700","","","","","","","2","1700","4087","A","Information Receiver Name"
"B","278-B2","3","1700","","","","","","","2","1700","4088","","This NM1 loop identifies the notification receiver."
"C","278-B2","3","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","3","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","3","1700","NM1","03","","","","","2","1700","4113","D","Required when the information receiver needs to identify itself to the information source by name. If not required by this implementation guide, do not send."
"C","278-B2","3","1700","NM1","03","","","","","2","1700","","F","Information Receiver Last or Organization Name"
"C","278-B2","3","1700","NM1","04","","","","","2","1700","4114","D","Required when NM103 is valued and the information receiver is an individual (NM102 = 1). If not required by this implementation guide, do not send."
"C","278-B2","3","1700","NM1","04","","","","","2","1700","","F","Information Receiver First Name"
"C","278-B2","3","1700","NM1","05","","","","","2","1700","3911","D","Required when NM104 is present and the middle name/initial of the person is known. If not required by this implementation guide, do not send."
"C","278-B2","3","1700","NM1","05","","","","","2","1700","","F","Information Receiver Middle Name"
"C","278-B2","3","1700","NM1","07","","","","","2","1700","3912","D","Required when NM104 is valued and the suffix of the individual's name is known; e.g. Sr., Jr., or III. If not required by this implementation guide, do not send."
"C","278-B2","3","1700","NM1","07","","","","","2","1700","","F","Information Receiver Name Suffix"
"C","278-B2","3","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","3","1700","NM1","08","","","66","PI","2","1700","4089","","Use until the National PlanID is mandated if the information receiver is a payer."
"C","278-B2","3","1700","NM1","09","","","","","2","1700","","F","Information Receiver Identifier"
"B","278-B2","3","2200","","","","","","","2","2200","3799","E","PER*IC*JWILBER*TE*8189991234*FX*8188769304~"
"B","278-B2","3","2200","","","","","","","2","2200","3979","","When the communication number represents a telephone number in the United States and other countries using the North American Dialing Plan (for voice, data, fax, etc), the communication number should always include the area code and phone number using the format AAABBBCCCC. Where AAA is the area code, BBB is the telephone number prefix, and CCCC is the telephone number (e.g. (534)224-2525 would be represented as 5342242525). The extension, when applicable, should be included in the communication number immediately after the telephone number."
"B","278-B2","3","2200","","","","","","","2","2200","4090","A","Information Receiver Contact Information"
"B","278-B2","3","2200","","","","","","","2","2200","4091","","Required when the information source must direct requests for follow-up to a specific contact, electronic mail, facsimile, or phone number. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","01","","","","","2","2200","","F","Contact Function Code"
"C","278-B2","3","2200","PER","02","","","","","2","2200","4244","D","Required when a particular contact is assigned and the name of the entity to contact is not already defined in the NM1 segment in this loop (2010B NM1 Segment). If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","02","","","","","2","2200","","F","Information Receiver Contact Name"
"C","278-B2","3","2200","PER","03","","","","","2","2200","4003","D","Required when PER02 is not valued in order to transmit a contact communication number. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","03","","","","","2","2200","","F","Communication Number Qualifier"
"C","278-B2","3","2200","PER","04","","","","","2","2200","4191","D","Required when PER03 is valued. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","04","","","","","2","2200","","F","Information Receiver Contact Communication Number"
"C","278-B2","3","2200","PER","05","","","","","2","2200","3913","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","05","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B2","3","2200","PER","05","","","365","EX","2","2200","4115","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-B2","3","2200","PER","06","","","","","2","2200","3913","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","06","","","","","2","2200","","F","Information Receiver Contact Communication Number"
"C","278-B2","3","2200","PER","07","","","","","2","2200","3913","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","07","","","","","2","2200","","F","Communication Number Qualifier"
"E","278-B2","3","2200","PER","07","","","365","EX","2","2200","4115","","When used, the value following this code is the extension for the preceding communications contact number."
"C","278-B2","3","2200","PER","08","","","","","2","2200","3913","D","Required when the telephone extension or multiple communication types are available. If not required by this implementation guide, do not send."
"C","278-B2","3","2200","PER","08","","","","","2","2200","","F","Information Receiver Contact Communication Number"
"B","278-B2","3","2300","","","","","","","2","2300","4004","E","AAA*N**42*Y~"
"B","278-B2","3","2300","","","","","","","2","2300","4092","A","Information Receiver Notification Validation"
"B","278-B2","3","2300","","","","","","","2","2300","4093","","Use this AAA segment to report the reasons why the information receiver cannot receive the notification at a system or application level based on the information source identified in Loop 2010A."
"B","278-B2","3","2300","","","","","","","2","2300","4094","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","3","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","3","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","3","2300","AAA","03","","","901","04","2","2300","4015","","Use this code to indicate that the transaction exceeds the maximum number of patient events for this information receiver. This implementation guide limits each transaction to a single patient event."
"E","278-B2","3","2300","AAA","03","","","901","41","2","2300","4016","","Use this reason code to indicate that the sender, as identified in ISA06 or GS02 is not authorized to send the transaction sets identified in GS01 or transaction sets with the purpose identified in BHT02 to the information receiver identified in Loop 2010B. The 278 transaction set has three different implementations. The transaction set purpose as identified in BHT02 specifies the implementation."
"E","278-B2","3","2300","AAA","03","","","901","42","2","2300","4017","","Use this code to indicate that the information receiver identified in Loop 2010B is unable to process the transaction at the current time. This indicates that there is a problem within the receiver's system."
"E","278-B2","3","2300","AAA","03","","","901","79","2","2300","4095","","Use this code to indicate that the code used in Loop 2010B of the notification to identify the information receiver is invalid."
"E","278-B2","3","2300","AAA","03","","","901","80","2","2300","4018","","Use this code to indicate that the trading partner/application system responsible for sending the notification to the information receiver has not received a response in the expected timeframe and therefore has terminated the notification."
"E","278-B2","3","2300","AAA","03","","","901","T4","2","2300","4019","","Use this code to indicate that either the name or identifier for the information receiver identified in Loop 2010B is missing."
"C","278-B2","3","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","4","0100","","","","","","","2","0100","3800","E","HL*3*2*22*1~"
"B","278-B2","4","0100","","","","","","","2","0100","3822","A","Subscriber Level"
"B","278-B2","4","0100","","","","","","","2","0100","3921","","This segment indicates the subscriber hierarchical level. The subscriber could also be the patient. If the subscriber is the patient, then the dependent hierarchical level (Loop 2000D) is not used."
"B","278-B2","4","0100","","","","","","","2","0100","4110","","Required when the information receiver has detected no errors at the parent level (Loop 2000B) of the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","0100","HL","01","","","","","2","0100","","F","Hierarchical ID Number"
"C","278-B2","4","0100","HL","02","","","","","2","0100","","F","Hierarchical Parent ID Number"
"C","278-B2","4","0100","HL","03","","","","","2","0100","","F","Hierarchical Level Code"
"C","278-B2","4","0100","HL","04","","","","","2","0100","","F","Hierarchical Child Code"
"B","278-B2","4","0200","","","","","","","2","0200","3946","","Any trace numbers provided at this level on the notification must be returned by the information receiver at this level of the 278 acknowledgment response if one is returned."
"B","278-B2","4","0200","","","","","","","2","0200","3972","","If the 278 notification transaction passes through more than one clearinghouse, the second (and subsequent) clearinghouse may choose one of the following options:<R>
If the second or subsequent clearinghouse needs to assign their own TRN segment they may replace the received TRN segment belonging to the sending clearinghouse with their own TRN segment. Upon returning a 278 acknowledgment to the sending clearinghouse, they must remove their TRN segment and replace it with the sending clearinghouse's TRN segment. If the second or subsequent clearinghouse does not need to assign their own TRN segment, they should merely pass all TRN segments received in the 278 acknowledgment transaction."
"B","278-B2","4","0200","","","","","","","2","0200","3973","","If the 278 notification passes through a clearinghouse that adds their own TRN in addition to an information source TRN, the clearinghouse will receive an acknowledgment from the information receiver containing two TRN segments that contain the value <169>2<170> (Referenced Transaction Trace Number) in TRN01. If the information receiver has assigned a TRN, the information receiver's TRN will contain the value <169>1<170> (Current Transaction Trace Number) in TRN01. If the clearinghouse chooses to pass their own TRN values to the information source, the clearinghouse must change the value in their TRN01 to <169>1<170> because, from the information source's perspective, this is not a referenced transaction trace number."
"B","278-B2","4","0200","","","","","","","2","0200","4066","E","TRN*2*2001042801*9012345678*CARDIOLOGY~"
"B","278-B2","4","0200","","","","","","","2","0200","4116","","Required when this loop is returned and the notification contained a tracking number at this level on the notification, or if the receiver or clearinghouse assigns a trace number to this patient event in the acknowledgment for tracking purposes. If not required by this implementation guide, do not send."
"B","278-B2","4","0200","","","","","","","2","0200","4253","A","Subscriber Trace Number"
"C","278-B2","4","0200","TRN","01","","","","","2","0200","","F","Trace Type Code"
"E","278-B2","4","0200","TRN","01","","","481","1","2","0200","3947","","The term ""Current Transaction Trace Number"" refers to the trace number assigned by the creator of the 278 acknowledgment transaction (the information receiver)."
"E","278-B2","4","0200","TRN","01","","","481","2","2","0200","3948","","The term ""Referenced Transaction Trace Number"" refers to the trace number originally sent in the 278 notification transaction."
"C","278-B2","4","0200","TRN","02","","","","","2","0200","","F","Patient Event Tracking Number"
"C","278-B2","4","0200","TRN","03","","","","","2","0200","3917","","Use this element to identify the organization that assigned this trace number. If TRN01 is ""2"", this is the value received in the original 278 notification transaction. If TRN01 is ""1"", use this information to identify the information receiver organization that assigned this trace number."
"C","278-B2","4","0200","TRN","03","","","","","2","0200","3918","","The first position must be either a <169>1<170> if an EIN is used, a <169>3<170> if a DUNS is used or a <169>9<170> if a user assigned identifier is used."
"C","278-B2","4","0200","TRN","03","","","","","2","0200","","F","Trace Assigning Entity Identifier"
"C","278-B2","4","0200","TRN","04","","","","","2","0200","4117","D","Required when TRN01 = 2 and TRN04 was valued on the notification or if TRN01 = 1 if necessary to further identify a specific component, such as a specific division or group, of the company identified in the previous data element (TRN03). If not required by this implementation guide, do not send."
"C","278-B2","4","0200","TRN","04","","","","","2","0200","","F","Trace Assigning Entity Additional Identifier"
"B","278-B2","4","0300","","","","","","","2","0300","3835","A","Subscriber Notification Validation"
"B","278-B2","4","0300","","","","","","","2","0300","3922","E","AAA*N**15*C~"
"B","278-B2","4","0300","","","","","","","2","0300","3923","","Use this AAA segment to identify the reasons why the notification could not be received based on the contents of the HI Subscriber Diagnosis segment or the DTP date segments in Loop 2000C of the notification."
"B","278-B2","4","0300","","","","","","","2","0300","4094","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","4","0300","AAA","01","","","","","2","0300","","F","Valid Request Indicator"
"C","278-B2","4","0300","AAA","03","","","","","2","0300","","F","Reject Reason Code"
"E","278-B2","4","0300","AAA","03","","","901","15","2","0300","3924","","Use for missing diagnosis codes and dates."
"E","278-B2","4","0300","AAA","03","","","901","33","2","0300","3925","","Use for invalid diagnosis codes and dates."
"E","278-B2","4","0300","AAA","03","","","901","56","2","0300","3926","","Use when the type of date (Accident, Last Menstrual Period, Estimated Date of Birth, Onset of Current Symptoms or Illness) used on the request is inconsistent with the patient condition or services requested."
"C","278-B2","4","0300","AAA","04","","","","","2","0300","","F","Follow-up Action Code"
"B","278-B2","4","0600","","","","","","","2","0600","4096","A","Notification Receipt Number"
"B","278-B2","4","0600","","","","","","","2","0600","4097","E","REF*BAF*0307801~"
"B","278-B2","4","0600","","","","","","","2","0600","4098","","Required when the information receiver returns a receipt number to indicate receipt of the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","0600","REF","01","","","","","2","0600","","F","Reference Identification Qualifier"
"C","278-B2","4","0600","REF","02","","","","","2","0600","","F","Notification Receipt Number"
"B","278-B2","4","1700","","","","","","","2","1700","3801","E","NM1*IL*1*SMITH*JOE****MI*12345678901~"
"B","278-B2","4","1700","","","","","","","2","1700","3832","A","Subscriber Name"
"C","278-B2","4","1700","NM1","01","","","","","2","1700","","F","Entity Identifier Code"
"C","278-B2","4","1700","NM1","02","","","","","2","1700","","F","Entity Type Qualifier"
"C","278-B2","4","1700","NM1","03","","","","","2","1700","3927","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","1700","NM1","03","","","","","2","1700","","F","Subscriber Last Name"
"C","278-B2","4","1700","NM1","04","","","","","2","1700","4118","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","1700","NM1","04","","","","","2","1700","","F","Subscriber First Name"
"C","278-B2","4","1700","NM1","05","","","","","2","1700","4118","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","1700","NM1","05","","","","","2","1700","","F","Subscriber Middle Name or Initial"
"C","278-B2","4","1700","NM1","07","","","","","2","1700","4118","D","Required when valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","1700","NM1","07","","","","","2","1700","","F","Subscriber Name Suffix"
"C","278-B2","4","1700","NM1","08","","","","","2","1700","","F","Identification Code Qualifier"
"E","278-B2","4","1700","NM1","08","","","66","MI","2","1700","3984","","The code MI is intended to be the subscriber's identification number as assigned by the payer. Payers use different terminology to convey the same number. Use MI - Member Identification Number to convey the following terms: Insured's ID, Subscriber's ID, Health Insurance Claim Number (HIC), etc."
"E","278-B2","4","1700","NM1","08","","","66","ZZ","2","1700","3929","","The value ""ZZ"", when used in this data element, shall be defined as ""HIPAA Individual Identifier"" once this identifier has been adopted.  Under the Health Insurance Portability and Accountability Act of 1996, the Secretary of Health and Human Services must adopt a standard individual identifier for use in this transaction."
"C","278-B2","4","1700","NM1","09","","","","","2","1700","3833","B","Subscriber Member Number"
"C","278-B2","4","1700","NM1","09","","","","","2","1700","","F","Subscriber Primary Identifier"
"B","278-B2","4","1800","","","","","","","2","1800","3802","E","REF*SY*123456789~"
"B","278-B2","4","1800","","","","","","","2","1800","3834","A","Subscriber Supplemental Identification"
"B","278-B2","4","1800","","","","","","","2","1800","3930","","Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number is to be provided in the NM1 segment as a Member Identification Number when it is the primary number a UMO knows a member by (such as for Medicare or Medicaid). Do not use this segment for the Health Insurance Claim (HIC) Number or Medicaid Recipient Identification Number unless they are different from the Member Identification Number provided in the NM1 segment."
"B","278-B2","4","1800","","","","","","","2","1800","4099","","Required when valued on the notification and used by the information receiver to identify the Subscriber or when REF01 = ""EJ"" (Patient Account Number) is valued on the notification. If not required by this implementation guide, do not send."
"C","278-B2","4","1800","REF","01","","","","","2","1800","","F","Reference Identification Qualifier"
"E","278-B2","4","1800","REF","01","","","128","1L","2","1800","3985","","Use this code only if you cannot determine if the number is a Group Number (6P) or a Policy Number (IG)."
"E","278-B2","4","1800","REF","01","","","128","EJ","2","1800","4249","","The maximum number of characters to be supported for this qualifier is `20'. Characters beyond the maximum are not required to be stored nor returned by any receiving system."
"E","278-B2","4","1800","REF","01","","","128","F6","2","1800","3986","","Use the NM1 (Subscriber Name) segment if the subscriber's HIC number is the primary identifier for his or her coverage. Use this code only in a REF segment when the payer has a different member number, and there also is a need to pass the dependent's HIC number. This might occur in a Medicare HMO situation."
"E","278-B2","4","1800","REF","01","","","128","HJ","2","1800","3931","","Use this code when the Identity Card Number differs from the Member Identification Number. This is particularly prevalent in the Medicaid environment."
"E","278-B2","4","1800","REF","01","","","128","SY","2","1800","4031","","Use this code only if the Social Security Number is not the primary;identifier for the subscriber. The social security number may not be;used for Medicare."
"C","278-B2","4","1800","REF","02","","","","","2","1800","","F","Subscriber Supplemental Identifier"
"B","278-B2","4","2300","","","","","","","2","2300","3817","E","AAA*N**67*C~"
"B","278-B2","4","2300","","","","","","","2","2300","3835","A","Subscriber Notification Validation"
"B","278-B2","4","2300","","","","","","","2","2300","4094","","Required when the notification is not valid at this level. If not required by this implementation guide, do not send."
"C","278-B2","4","2300","AAA","01","","","","","2","2300","","F","Valid Request Indicator"
"C","278-B2","4","2300","AAA","03","","","","","2","2300","","F","Reject Reason Code"
"E","278-B2","4","2300","AAA","03","","","901","15","2","2300","4035","","Use when data is missing that is not covered by another Reject Reason Code. Use to indicate that there is not enough data to identify the subscriber."
"E","278-B2","4","2300","AAA","03","","","901","79","2","2300","3932","","Use for invalid/missing subscriber supplemental identifier."
"C","278-B2","4","2300","AAA","04","","","","","2","2300","","F","Follow-up Action Code"
"B","278-B2","4","2500","","","","","","","2","2500","3803","E","DMG*D8*19580322*M~"
"B","278-B2","4","2500","","","","","","","2","2500","3836","A","Subscriber Demographic Information"
"B","278-B2","4","2500","","","","","","","2","2500","4100","","Required when valued on the notification and birth date (DMG02) or gender (DMG03) was used by the information receiver to identify the subscriber. If not required by this implementation guide, do not send."
"C","278-B2","4","2500","DMG","01","","","","","2","2500","","F","Date Time Period Format Qualifier"
"C","278-B2","4","2500","DMG","02","","","","","2","2500","3818","B","Subscriber Birth Date"
"C","278-B2","4","2500","DMG","02","","","","","2","2500","","F","Subscriber Birth Date"
"C","278-B2","4","2500","DMG","03","","","","","2","2500","4119","D","Required when valued on the notification and used by the information receiver to identify the subscriber. If not required by this implementation guide, do not send."
"C","278-B2","4","2500","DMG","03","","","","","2","2500","","F","Subscriber Gender Code"
"B","278-B2","4","2600","","","","","","","2","2600","4101","A","Subscriber Relationship"
"B","278-B2","4","2600","","","","","","","2","2600","4102","E","INS*Y*18******AO~"
"B","278-B2","4","2600","","","","","","","2","2600","4103","","Required when the subscriber's role in the military is used by the information receiver to identify the subscriber. If not required by this implementation guide, do not send."
"C","278-B2","4","2600","INS","01","","","","","2","2600","","F","Insured Indicator"
"C","278-B2","4","2600","INS","02","","","","","2","2600","4104","B","Relationship to Insured Code"
"C","278-B2","4","2600","INS","02","","","","","2","2600","","F","Individual Relationship Code"
"C","278-B2","4","2600","INS","08","","","","","2","2600","4105","","Use to qualify the patient's relationship to the military."
"C","278-B2","4","2600","INS","08","","","","","2","2600","","F","Employment Status Code"
"B","278-B2","5","0100","","","","","","","2","0100","3804","E","HL*4*3*23*1~"
"B","278-B2","5","0100","","","","","","","2","0100","3837","A","Dependent Level"
"B","278-B2","5","0100","","","","","","","2","0100","3933","","Required segments in this loop are required only when this loop is used."
